HOUSEHOLD_ID,MEMBER_ID,LINE_NUMBER,A01_LAST_NAME,A01_FIRST_NAME,A01_SUFFIX,A01_MIDDLE_NAME,A02_RELATION_TO_HH_HEAD,A05_SEX,A07_AGE,A09_MARITAL_STATUS,A17_SOLO_PARENT,A18_SOLO_PARENT_ID,A19_SENIOR_CITIZEN_ID,A20_A_SEEING,A20_B_HEARING,A20_C_WALKING,A20_D_REMEMBERING,A20_E_SELF_CARING,A20_F_COMMUNICATING,B06_OFI,C01_SIMPLE_LITERACY,C02_HGC_LEVEL,C03_CURRENTLY_ATTENDING_SCHOOL,C05_CURRENT_GRADE_LEVEL,C06_REASON_NOT_ATTENDING_SCHOOL,C07_TVET_GRADUATE,C08_TVET_CURRENTLY_ATTENDING,E01_WORK_PAST_WEEK,E03_JOB_OR_BUSINESS_PAST_WEEK,E11_NATURE_OF_EMPLOYMENT,E12_NUMBER_OF_HOURS_WORKED,E13_NUMBER_OF_DAYS_WORKED,E14_TOTAL_NUMBER_OF_HOURS_WORKED,E15_WANT_MORE_HOURS,E16_LOOKING_FOR_ADDITIONAL_WORK,E18_CLASS_OF_WORKER,E19_BASIS_OF_PAYMENT,E24_REASON_MORE_OR_LESS_HOURS,E25_TRY_LOOK_FOR_WORK_OR_DO_BUSINESS,E29_REASON_NOT_LOOKING_FOR_WORK,E31_AVAILABLE_FOR_WORK,E32_WILLING_TO_WORK,E39_OWNERSHIP_OF_AGRI_LAND,E40_LAND_USED_IN_AGRI_ACTIVITY
HH000001,HH000001-M01,01,Navarro,Paolo,,Garcia,01,1,28,2,2,,,1,1,1,1,1,1,7,1,3,,,,2,2,2,1,1,6,0,0,1,1,2,4,25,,,,,1,2
HH000001,HH000001-M02,02,Navarro,Angela,,Valdez,02,2,22,2,2,,,1,1,1,1,1,1,4,1,4,2,,10,2,2,1,,2,4,5,19,2,2,5,4,99,,,,,2,
HH000001,HH000001-M03,03,Navarro,Rose,,Santos,04,2,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000001,HH000001-M04,04,Navarro,Rose,,Garcia,04,2,8,1,,,,2,1,1,1,1,1,,1,1,1,00010013,,,,2,2,,,,,,,,,,,,,,,
HH000001,HH000001-M05,05,Navarro,Maria,,Bautista,04,2,7,1,,,,1,1,1,1,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000001,HH000001-M06,06,Navarro,Gabriel,Jr.,Ramos,03,1,4,1,,,,,,,,,,,,,2,,12,,,,,,,,,,,,,,,,,,,
HH000001,HH000001-M07,07,Navarro,Angelo,,Fernandez,03,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000002,HH000002-M01,01,Navarro,Camille,,Aquino,01,2,38,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,8,6,49,2,2,3,,14,,,,,2,
HH000002,HH000002-M02,02,Navarro,Gabriel,,Bautista,02,1,32,2,2,,,1,3,1,1,1,2,7,1,3,,,,2,1,1,,1,10,7,68,2,2,1,7,11,,,,,2,
HH000002,HH000002-M03,03,Navarro,Karen,,Domingo,04,2,4,1,,,,,,,,,,,,,2,,14,,,,,,,,,,,,,,,,,,,
HH000002,HH000002-M04,04,Navarro,Nathan,,Aquino,23,1,56,2,2,,,1,1,1,1,1,1,7,1,4,,,,2,2,2,2,,,,,,,,,,2,03,1,1,2,
HH000003,HH000003-M01,01,Corpuz,Rommel,,Aquino,01,1,78,2,2,,1,2,2,1,1,1,1,7,1,3,,,,2,2,2,3,,,,,,,,,,2,07,,,2,
HH000003,HH000003-M02,02,Corpuz,Maria,,Soriano,02,2,81,2,2,,1,1,1,2,3,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000004,HH000004-M01,01,Rosales,Grace,,Reyes,01,2,48,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,10,5,50,2,2,3,,99,,,,,2,
HH000004,HH000004-M02,02,Rosales,Luis,,Garcia,02,1,45,2,2,,,1,1,1,1,1,1,7,1,3,,,,1,2,1,,3,8,5,38,2,2,3,,24,,,,,2,
HH000004,HH000004-M03,03,Rosales,Mae,,Santos,04,2,15,1,2,,,1,1,1,1,1,1,7,1,2,1,00024014,,1,2,2,2,,,,,,,,,,2,09,,,2,
HH000004,HH000004-M04,04,Rosales,Maria,,Castillo,04,2,11,1,2,,,1,4,1,1,1,1,,1,1,2,,10,,,2,2,,,,,,,,,,,,,,,
HH000004,HH000004-M05,05,Rosales,Sophia,,Garcia,04,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000005,HH000005-M01,01,Cabrera,Vincent,,Flores,01,1,38,5,1,2,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,12,5,60,1,1,1,3,12,,,,,2,
HH000005,HH000005-M02,02,Cabrera,Luis,Jr.,Aguilar,03,1,20,1,2,,,1,1,1,1,1,1,7,1,3,1,00034012,,2,2,2,2,,,,,,,,,,1,,1,2,2,
HH000005,HH000005-M03,03,Cabrera,Daniel,,Navarro,03,1,13,1,2,,,1,1,1,1,1,1,,1,1,1,00024012,,,,2,2,,,,,,,,,,,,,,,
HH000005,HH000005-M04,04,Cabrera,Joshua,,Navarro,03,1,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000005,HH000005-M05,05,Cabrera,Ana,,Ramos,04,2,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000006,HH000006-M01,01,Rosales,Michelle,,Diaz,01,2,57,2,2,,,1,1,1,1,1,1,7,1,2,,,,2,2,1,,2,12,7,84,1,1,3,,11,,,,,2,
HH000006,HH000006-M02,02,Rosales,John,,Lopez,02,1,55,2,2,,,1,1,1,1,1,1,7,1,1,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000006,HH000006-M03,03,Rosales,Ana,,Santos,04,2,10,1,2,,,1,1,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000006,HH000006-M04,04,Rosales,Andrea,,Diaz,04,2,6,1,,,,1,1,1,1,1,1,,1,1,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000006,HH000006-M05,05,Rosales,Rafael,,Fernandez,03,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000006,HH000006-M06,06,Rosales,Vincent,,Mendoza,03,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000007,HH000007-M01,01,Corpuz,Paolo,,Garcia,01,1,73,2,2,,1,3,1,2,1,1,1,7,1,3,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000007,HH000007-M02,02,Corpuz,Grace,,Aquino,02,2,72,2,2,,2,1,1,2,1,1,1,7,1,1,,,,2,2,1,,1,8,5,41,1,2,1,1,,,,,,2,
HH000008,HH000008-M01,01,Aguilar,Christian,,Valdez,01,1,80,4,2,,2,1,1,1,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,2,07,,,2,
HH000009,HH000009-M01,01,Flores,Rommel,,Castillo,01,1,34,2,2,,,1,1,1,1,1,2,7,1,5,,,,2,2,1,,1,10,7,70,2,2,5,3,11,,,,,2,
HH000009,HH000009-M02,02,Flores,Catherine,,Reyes,02,2,37,2,2,,,1,2,1,1,1,1,7,1,6,,,,1,2,1,,1,8,5,40,2,2,2,5,,,,,,2,
HH000009,HH000009-M03,03,Flores,Nicole,,Flores,04,2,12,1,2,,,1,1,1,1,1,1,,1,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000009,HH000009-M04,04,Flores,Kristine,,Torres,04,2,7,1,,,,1,1,1,1,1,1,,1,1,1,00010012,,,,2,2,,,,,,,,,,,,,,,
HH000009,HH000009-M05,05,Flores,Joy,,Mendoza,04,2,6,1,,,,1,1,1,1,1,1,,1,1,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000009,HH000009-M06,06,Flores,Joshua,Jr.,Garcia,03,1,5,1,,,,1,1,1,1,1,1,,2,0,1,00002000,,,,2,2,,,,,,,,,,,,,,,
HH000009,HH000009-M07,07,Flores,Kristine,,Navarro,12,2,61,2,2,,1,1,1,2,1,1,1,7,1,4,,,,2,2,2,2,,,,,,,,,,2,03,2,2,2,
HH000009,HH000009-M08,08,Flores,Miguel,,Castillo,11,1,61,4,2,,1,2,1,2,1,1,1,7,1,6,,,,1,2,2,2,,,,,,,,,,2,03,2,1,2,
HH000010,HH000010-M01,01,Fernandez,Nathan,III,Garcia,01,1,38,2,2,,,1,1,1,1,1,1,7,1,6,,,,1,2,1,,2,10,5,49,2,2,0,3,11,,,,,2,
HH000010,HH000010-M02,02,Fernandez,Patricia,,Rivera,02,2,39,2,2,,,1,1,1,1,1,1,7,1,5,,,,2,2,1,,1,7,6,43,2,2,1,4,,,,,,2,
HH000010,HH000010-M03,03,Fernandez,Rafael,,Rivera,03,1,17,1,2,,,1,1,1,2,1,1,7,2,2,1,00034012,,2,2,2,2,,,,,,,,,,2,09,,,2,
HH000010,HH000010-M04,04,Fernandez,Grace,,Aquino,04,2,6,1,,,,1,1,1,1,1,1,,2,1,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000010,HH000010-M05,05,Fernandez,Bea,,Valdez,04,2,4,1,,,,,,,,,,,,,1,00001000,,,,,,,,,,,,,,,,,,,,
HH000010,HH000010-M06,06,Fernandez,Grace,,Cruz,12,2,81,2,2,,1,2,1,1,1,1,1,7,1,2,,,,2,2,2,2,,,,,,,,,,1,,1,1,2,
HH000010,HH000010-M07,07,Fernandez,Ana,,Aguilar,12,2,64,6,2,,1,3,1,2,3,1,1,7,1,3,,,,2,2,1,,1,8,5,40,2,2,5,5,,,,,,1,2
HH000011,HH000011-M01,01,Ramos,Rose,,Navarro,01,2,35,2,2,,,1,1,1,1,1,1,1,1,6,,,,1,2,,,,,,,,,,,,,,,,,
HH000011,HH000011-M02,02,Ramos,Luis,,Torres,02,1,31,2,2,,,1,1,1,1,1,1,7,1,6,,,,2,2,1,,2,6,5,28,2,2,1,1,28,,,,,2,
HH000011,HH000011-M03,03,Ramos,Vincent,,Flores,03,1,17,1,2,,,1,1,1,1,1,1,1,1,3,1,00034012,,2,2,,,,,,,,,,,,,,,,,
HH000011,HH000011-M04,04,Ramos,Jerome,Jr.,Soriano,03,1,10,1,2,,,1,2,1,1,1,1,,1,1,1,00010015,,,,2,2,,,,,,,,,,,,,,,
HH000011,HH000011-M05,05,Ramos,Luis,,Soriano,03,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000012,HH000012-M01,01,Domingo,Jose,,Domingo,01,1,41,6,1,2,,1,2,1,1,1,1,7,1,6,,,,2,2,1,,1,10,5,50,2,2,0,3,11,,,,,2,
HH000012,HH000012-M02,02,Domingo,Nathan,,Flores,03,1,11,1,2,,,1,1,1,1,1,1,,1,1,1,00010016,,,,2,2,,,,,,,,,,,,,,,
HH000012,HH000012-M03,03,Domingo,Vincent,,Domingo,03,1,6,1,,,,1,1,1,1,1,1,,1,1,1,00010011,,,,2,2,,,,,,,,,,,,,,,
HH000013,HH000013-M01,01,Rivera,Marco,,Flores,01,1,30,2,2,,,1,1,1,1,1,2,7,1,3,,,,2,2,1,,2,12,5,61,2,2,1,4,12,,,,,2,
HH000013,HH000013-M02,02,Rivera,Ana,,Santos,02,2,30,2,2,,,1,1,2,1,1,1,7,1,4,,,,2,2,1,,3,12,2,22,1,2,2,3,28,,,,,2,
HH000013,HH000013-M03,03,Rivera,Vincent,,Reyes,03,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH000014,HH000014-M01,01,Ramos,Daniel,III,Lopez,01,1,30,2,2,,,1,1,1,1,1,1,7,1,7,,,,2,2,1,,3,8,3,26,2,2,1,5,28,,,,,1,2
HH000014,HH000014-M02,02,Ramos,Nicole,,Valdez,02,2,33,2,2,,,1,1,1,2,1,1,7,1,3,,,,2,2,1,,1,8,7,55,2,2,3,,12,,,,,2,
HH000014,HH000014-M03,03,Ramos,Lance,Jr.,Flores,03,1,13,1,2,,,1,1,1,1,1,1,,1,1,1,00024012,,,,2,2,,,,,,,,,,,,,,,
HH000014,HH000014-M04,04,Ramos,Ella,,Fernandez,04,2,12,1,2,,,1,1,1,1,1,1,,1,1,1,00024011,,,,2,2,,,,,,,,,,,,,,,
HH000014,HH000014-M05,05,Ramos,Michelle,,Valdez,04,2,9,1,,,,1,1,2,1,1,1,,1,1,1,00010014,,,,2,2,,,,,,,,,,,,,,,
